Job,Score
Materials Engineers,1608
Logisticians,1607
COMPUTER SUPPORT,1606
Business Systems Analyst,1605
Taekwondo School Curriculum and Instruction Director,1604
MAIDS AND HOUSEKEEPERS CLEANERS,1603
Cost Estimators,1602
Materials Scientist,1601
"Communications Teachers, Postsecondary",1600
"Education Teachers, Postsecondary",1599
Computer System Analyst,1598
Statistician,1597
Assistant Professor of Spanish and Italian,1596
"Manager, Planning and Contracts",1595
"COOKS, PRIVATE HOUSEHOLD",1594
Petroleum Engineers,1593
Electrical Engineer,1592
"Medical Scientists, Except Epidemiologists",1591
Sr. Programmer Analyst,1590
"Physicians and Surgeons, All Other",1589
Market Research Analyst and Marketing Specialists,1588
Dentist,1587
Senior Product Manager,1586
Sushi Chef,1585
Internist General,1584
Curators,1583
ACCOUNTANTS AND AUDITORS,1582
"Biological Science Teachers, Postsecondary",1581
Information Technologist I,1580
Comptroller,1579
Computer Networks & Systems Administrators,1578
SALES ENGINEERS,1577
Art Director,1576
MUSIC DIRECTORS AND COMPOSERS,1575
Hardware Engineer,1574
b,1573
Sales & Marketing Director,1572
FINANCIAL ANALYST,1571
"Information Security Analysts, Web Developers, and Computer Network Architects",1570
Manager,1569
BAKERY MANAGER,1568
Engineering Managers,1567
"Environmental Scientists and Specialists, Including Health",1566
COMPUTER SYSTEMS ADMINISTRATOR (SOC 15-1142),1565
Synthetic Silica Chemist,1564
"Criminal Justice and Law Enforcement Teachers, Postsecondary",1563
"Securities, Commodities, and Financial Services Sales Agents",1562
COOK,1561
Market Research Analyst,1560
Pipelayer,1559
"Computer Software Engrs, Systems Sftwre",1558
"Electronics Engineer, Except Computer",1557
Lead Software Engineer,1556
.NET DEVELOPER,1555
COMPUTER & INFOMRATION SYSTEMS MANAGERS,1554
Medical and Health Services Managers,1553
Coaches and Scouts,1552
COOK - INDIAN SPECIALTY,1551
MAIDS AND HOUSEKEEPING CLEANERS,1550
Adult Basic and Secondary Education and Literacy,1549
Architectural and Civil Drafters,1548
"ELECTRICAL ENGINEERS, R&D",1547
SALES MANAGER,1546
PASTOR,1545
Sr. Programmer/Analyst,1544
Students with Disabilities Teacher,1543
Training and Development Specialists,1542
INDUSTRIAL ENGINEERS,1541
Welding Engineer,1540
Cashier,1539
"Comp.S/Ware Engineers, Applic.",1538
Clergy,1537
Dietitians and Nutritionists,1536
Info Sec Analysts/Web Dev/Comp Net Architects,1535
Network & Computer Systesm Administrators,1534
"Secondary School Teachers, Except Special and Vocational Education",1533
Home Health Aides,1532
First-Line Supervisors/Managers of Production and Operating Workers,1531
CHEFS AND HEAD COOKS,1530
Teacher,1529
Senior Associate,1528
"Elementary School Teachers, Except Special Education",1527
Professional Development Coordinator (Education Administration),1526
"Engineering Teachers, Postsecondary",1525
"Pediatricians, General",1524
Mathematical Science Teachers Postsecondary,1523
Paralegals and Legal Assistants,1522
Food Scientists and Technologists,1521
Tust and Estate Planning Attorney,1520
BIOCHEMISTS & BIOPHYSICISTS,1519
Computer and Information Research Scientists,1518
Sales Managers,1517
Public Relations and Fundraising Managers,1516
SENIOR MECHANICAL ENGINEER,1515
Public Relations Specialist,1514
Nuclear Engineers,1513
Reporters and Correspondents,1512
Architectual and Engineering Managers,1511
Computer & Information Systems Managers,1510
"re Developers, Applications",1509
Sociologists,1508
Software Developers Applictaions,1507
"Software Developers, System Software",1506
Human Resources Managers,1505
High School Chemistry Teacher,1504
"Electronics Engineers, except Computer",1503
HEALTH EDUCATORS,1502
"Information Security Analysts, Web Developers, and Computer Network Architect",1501
Network and Computer System Administrators,1500
Financial Examiners,1499
"Health Specialties Teachers, Postsecondary",1498
Copywriter,1497
CHEMISTS,1496
"Physicians and Surgeons, All other",1495
Assistant Professor of Biology,1494
Actuaries,1493
Technical Writers,1492
Senior Electrical Engineer,1491
Instructional Coordinator,1490
Coach (Taekwondo),1489
ESL Curriculum Coordinator,1488
OBSTETRICIANS AND GYNECOLOGISTS,1487
"Sofware Developers, Systems Software",1486
Senior Software Engineer,1485
"Education Administrators, Postsecondary",1484
Sales Engineer,1483
Market Research Analyst & Marketing Specialists,1482
CLINICAL LABORATORY SUPERVISOR,1481
Soil and Plant Scientists,1480
BUSINESS DEVELOPMENT SPECIALIST,1479
Biological Sciences Teachers Postsecondary,1478
Business Manager,1477
Accoutant,1476
Health Specialities Teachers Postsecondary,1475
Pediatrician,1474
SYSTEM ANALYST,1473
First-line Supervisors of Office and Administrative Support Workers,1472
"Art, Drama, and Music Teachers, Postsecondary",1471
Business Taxation Analyst,1470
Operation Research Analyst,1469
Associate Business Analyst,1468
Senior Engineering Manager,1467
Operation Research Strategist,1466
"Software Developer, Application",1465
Urban and Regional Planners,1464
Financial Analyst,1463
Senior Cost Analyst,1462
Foreign Language and Literature Teachers,1461
MARKET RESEARCH ANAYLYSTS AND MARKETING SPECIALIST,1460
MAIDS AND HOUSEKEEPING LEANERS,1459
"MIXING AND BLENDING MACHINE SETTERS, OPERATORS, AND TENDERS",1458
Audio and Video Technician,1457
Accountant,1456
Senior System Administrator,1455
Brickmasons and Blockmasons,1454
Mental Health Therapists (QMHP),1453
Foreign Language & Literature Teachers,1452
"Foreign Language and Literature Teachers, Postsecondary",1451
PROGRAMMER ANALYST,1450
Systems Developer,1449
Operations and Business Analyst,1448
Network Designers,1447
Atmospheric and Space Scientists,1446
Geographers,1445
Software Developer [15-1132],1444
"Physicians, Surgeons, All Others",1443
"Education Administrators, Preschool and Child Care Center/Program",1442
Software Engineers,1441
Biological Technicians,1440
Software Developer/ Computer Software Engineer,1439
Petroleum Engineer,1438
CIVIL ENGINEERS,1437
Software Delivery Implementation Specialist,1436
FINANCIAL ACCOUNTANT,1435
Advertising Illustrator,1434
Supply Chain Manager,1433
HUMAN RESOURCES MANAGERS,1432
FOOD SERVICE SUPERVISOR,1431
Commercial Pilots,1430
Jr. Lead Developer,1429
Human Resources Manager,1428
ACCOUNTANTS AND AUDITOR,1427
Market Research Analysts,1426
ACCOUNTANT-CPA,1425
GENERAL AND OPERATIONS MANAGER,1424
Scientist II,1423
"Mathematical Science Teachers, Postsecondary",1422
"Electronics Enginers, Except Computer",1421
Hematopathologist,1420
Mathematicians,1419
"Architects, Except Landscape and Naval",1418
Secondary Spanish Teacher,1417
Shipping and Receiving Operations Coordinator,1416
Sr. IP Production Engineer,1415
Senior Literary Specialist,1414
"Human Resources, Training, and Labor Relations Specialists, All Other*",1413
Interior Designers,1412
Design Engineer,1411
Oracle Functional Consultant,1410
Analog Design Engineer,1409
Psychiatrists,1408
"Sociology Teachers, Postsecondary",1407
Network & Comp. Systems Administrators,1406
Self-Enrichment Education Teachers,1405
Sr. Scientist,1404
"Law Teachers, Postsecondary",1403
Materials Engineer,1402
SENIOR PROGRAMMER ANALYST,1401
R&D Engineer,1400
Environmental Specialist,1399
Obstetricians and Gynecologists,1398
Editors,1397
SAP Business Analyst,1396
Senior Pricing/Contract Administrator,1395
Satellite Support Technician (Communications Eng.),1394
COMPUTER AND INFORMATION SYSTEMS MANAGERS,1393
"Engineers, All Other",1392
"Clinical, Counseling, and School Psychologists",1391
Business Operations Analyst,1390
"Medical Scientists, except Epidemiologists",1389
"Director, Religious Activities and Education",1388
Natural Sciences Manager,1387
"Philosophy and Religion Teachers, Postsecondary",1386
Industrial Engineer,1385
Project Lead,1384
Principal Storage Administrator,1383
Anesthesiologist,1382
"Sales Representative, Wholesale and Manufacturing, Technical and Scientific Professions",1381
MEDICAL AND HEALTH SERVICES MANAGER,1380
AUTOMOTIVE SERVICE TECHNICIANS & MECHANICS,1379
MARKET RESEARCH ANALYST,1378
Sculptor Design Fabricator Craftsperson,1377
Acupuncturist,1376
"Chemistry Teachers, Postsecondary",1375
COMPUTER SYSTEMS ADMINISTRATOR,1374
Graphic Designer,1373
AEROSPACE ENGINEER,1372
ELECTRICAL ENGINEERS,1371
"Software Engineer, Systems Software",1370
Health Educator,1369
Assistant Professor of History,1368
Professor of Music Studies,1367
Mental Health and Substance Abuse Social Workers,1366
Food and Beverage Manager,1365
"Middle School Teachers, Except Special and Career/Technical Education",1364
"Electronic Engineers, Except Computer",1363
Analytical Strategist for HR Operations,1362
COMPUTER SUPPORT SPECIALIST,1361
"ENVIRONMENTAL SCIENTISTS AND SPECIALISTS, INCLUDING HEALTH",1360
Software Design Engineer in Test 3 Positions,1359
General and Operations Manager,1358
NURSING ASSISTANT,1357
Int'l Specifications Project Specialist,1356
Sr. Business Analyst,1355
Budget Analysts,1354
"PUMP OPERATORS, EXCEPT WELLHEAD PUMPERS",1353
"Assistant Professor, Mathematics",1352
Lead Programmer Analyst,1351
Aerospace Engineer,1350
Chinese Food Cook,1349
Chinese Dance Instructor,1348
PAINTER / WATERPROOFER / SUPERVISOR,1347
Public Health Consultant/Patient Care Coordinator,1346
PROPERTY MANAGER,1345
"COOK, RESTAURANT",1344
Vice President,1343
Sociologist,1342
Sr. Software Engineer,1341
Project Manager,1340
BUSINESS ANALYST,1339
"Dentist, General",1338
Social Science Research Assistants,1337
Art Directors,1336
Project Engineering Manager,1335
"Internist, General",1334
Judicial Law Clerks,1333
Marketing Consultant,1332
management analysts,1331
Programmer/Software Developer,1330
Pharmacy Manager,1329
Project Engineer,1328
"Engineers, All other",1327
Executive Director,1326
Senior Risk Quantitative Analyst,1325
COMP SYSTEMS ANALYSTS,1324
NETWORK & COMP SYSTEMS ADMIN,1323
"Assistant Professor, Science Education",1322
Mental Health Counselors,1321
"VP, Equity Research, Major Pharmaceuticals",1320
Architectural & Engineering Managers,1319
Bilingual Elementary School Teacher,1318
Math/Phyics Teacher,1317
"FIRST-LINE SUPERVISORS OF LANDSCAPING, LAWN SERVICE, AND",1316
FIRST-LINE SUP. HOUSEKEEPING/JANITORIAL WORKERS,1315
"PAINTERS, CONSTRUCTION AND MAINTENANCE",1314
"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",1313
Advertising and Promotions Managers,1312
European Patent Specialist,1311
Engineering and Sales Manager,1310
"Meat, Poultry and Fish Cutter and Trimmers",1309
Facilities Manager,1308
mechanical engineer,1307
Network Systems and Data Communications Analysts,1306
Speciality Cook,1305
Food Production and Kitchen Supervisor,1304
Secondary School Teachers,1303
Software Developers. Applications,1302
Senior Programmer Analyst,1301
Web Developer,1300
Computer Support Technician,1299
ROOFERS,1298
HELPERS--PRODUCTION WORKERS,1297
Database Administrators (15-1141),1296
"Political Science Teachers, Postsecondary",1295
"Information Security Analysts, Web Developers and Compupter Network Architects",1294
"INTERNISTS, GENERAL",1293
Asst. Professor of Hospitality and Tourism Management,1292
DATABASE ADMINISTRATOR,1291
MARKET RESEARCH ANALYSTS & MARKETING SPECIALIST,1290
SENIOR GRAPHIC DESIGNER,1289
"Health Diagnosing & Treating Pract, All Other",1288
Assistant Professor of Finance,1287
Cooks Restaurant,1286
CFO,1285
Interpreters and Translators,1284
Architectural Consultant,1283
"Geoscientists,Except Hydrologists & Geographers",1282
"Art, Drama and Music Teachers, Postsecondary",1281
"Software Develolper, Applications",1280
"English Language and Literature Teachers, Postsecondary",1279
Pedigree Analyst,1278
Program Research Specialist III,1277
Lawyer,1276
Senior Engineer II,1275
Systems Infrastructure Manager,1274
Physician Assistants,1273
Software Development Engineer II,1272
"Transportation, Storage, and Distribution Managers",1271
Executive Secretaries and Executive Administrative Assistants,1270
"Software Develoeprs, Systems Software",1269
Analyst/Programmer,1268
Deployment Architect,1267
Architect,1266
Sr. Software Developer & Integrator,1265
Portfolio Manager,1264
"Group Leader/Supervisor, Engineering",1263
"Economics Teacher, Postsecondary",1262
MEETING CONVENTION & EVENT PLANNERS,1261
Oracle Applications Developer,1260
"Electrical Engineer, Except Computer",1259
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Pr",1258
SALES MANAGERS,1257
Senior Regulatory Affairs,1256
Credit Analyst,1255
SR. International & Governance Controller,1254
Assistant Professor of Communication,1253
Senior Software Engineers/Developers,1252
Multimedia Artists and Animators,1251
Hospitalist Physician,1250
Management Analyst (Financial),1249
"Software Developer, Non R&D",1248
"Physician, Hospitalist",1247
Materials Scientists,1246
Computer Systems Manager,1245
Process Engineer I,1244
Process Development Associate II,1243
"ACCOUNTANTS, CERTIFIED PUBLIC",1242
Software Developer Applications,1241
Education Administrator,1240
Educational Counselor,1239
RF Optimization Engineer,1238
Senior Implementation Delivery Specialist,1237
SQL Database Developer,1236
Speech-Language Pathologists,1235
PROGRAMMER ANALYST-II,1234
Engineering Management,1233
"Electronics Engineers, Excpet Computer",1232
Music Directors and Composers,1231
PHYSICAL EDUCATIONAL COORDINATOR,1230
Computer Software Analysts,1229
Engineering Manager,1228
"DOG TRAINER (POLICE, SCHUTZHUND, IPO)",1227
First-Line Supervisors of Retail Sales Workers,1226
CARGO AND FREIGHT AGENTS,1225
INTERIOR DESIGNER,1224
(15-1142) Network & Computer Systems Administrators,1223
Aviation Inspectors,1222
*Software Developer,1221
Technical Writer,1220
COMPUTER Software Engineer,1219
BUSINESS DEVELOPMENT ANALYST OF GENERAL OPERATIONS,1218
15-1132; Software Developer,1217
"Cooks, Restaurant",1216
"Info Sec Anals, Web Devs & Comp Netwk Archs",1215
"Office Clerks, General",1214
Mathematics Instructor,1213
Cook/Supervisor,1212
Transportation Inspectors,1211
Roofers,1210
Unix Administrator,1209
Senior Entrepreneur in Residence,1208
SQL Developer,1207
Bookkeeping Clerk,1206
IT Project Manager,1205
Cement Mason & Concrete Finisher,1204
Pre-school teacher,1203
MANAGEMENT ANALYSTS,1202
RESEARCH ASSISTANT,1201
Programming Engineer,1200
Diamond Setter,1199
LAPIDARIST (DIAMOND),1198
MAINTENANCE TECHNICIAN,1197
"COOK, PRIVATE HOUSEHOLD",1196
"Cook, Japanese food",1195
ITALIAN FOOD CHEF,1194
MACHINISTS,1193
Kindergarten Teacher,1192
Research Chemist,1191
Multimedia Lead (teacher),1190
ENGINEERING TECHNICAL ANALYST,1189
"Philosophy & Religion Teachers, Postsecondary",1188
Riser Engineer,1187
FINANCIAL MANAGERS,1186
Dental Ceramist,1185
SR COMPUTER PROGRAMMER,1184
Dressmaker,1183
ASSISTANT MANAGER,1182
Economist,1181
Sushi Cook,1180
HOUSEKEEPER,1179
AUTOMOTIVE MASTER MECHANICS,1178
Technical Recruiter,1177
HISTOTECHNOLOGIST,1176
Automotive Master Mechanic,1175
"Cook, restaurant",1174
OPERATIONS RESEARCH ANALYST,1173
HVAC INSTALLER,1172
Training and Development Specialist,1171
Guidewire Application Administrator,1170
"Computer Occupations, All Other (15-1799)",1169
NURSES AIDE,1168
Training and Developing Managers,1167
Agricultural Equipment Operators,1166
ANIMAL TRAINERS,1165
ARCHITECTURAL AND ENGINEERING MANAGERS,1164
LANDSCAPING AND GROUNDSKEEPING WORKERS,1163
Purchasing Specialist,1162
Practice Lead - Data Center,1161
"Senior Consultant, Storage/Data Mgmt",1160
Business Development Analyst,1159
ROOFER,1158
"NURSING AIDES, ORDERLIES AND ATTENDANTS",1157
TREE TRIMMERS AND PRUNERS,1156
Software Developer (Unable to select SOC Code: 15-1132),1155
Chinese specialty food cook,1154
Shift Supervisor,1153
First Line Supervisors/Managers of Food Preparation and Serving,1152
Speech Language Pathologist,1151
Operations Manager,1150
Pharmacists,1149
Senior Producer/Director,1148
Korean Cook,1147
Structural Metal Fitter,1146
"CHEF, HEAD",1145
"Fine Artists, Including Painters, Sculptors, and Illustrators",1144
"Information Security Analysts, Web Developers & Computer network Architect",1143
IT Web Development Manager,1142
STATIONARY ENGINEERS AND BOILER OPERATORS,1141
SYSTEMS ANALYST,1140
"GROOM, THOROUGHBRED HORSES",1139
WAITER,1138
Software Application Engineer,1137
"Managers, All Others",1136
Night Manager,1135
ORACLE DBA,1134
Bakers,1133
Baker,1132
SAP Basis Consultant,1131
Accounting Clerk,1130
First-Line Supervisors/Managers of Construction Trades and Extraction Workers,1129
"Sofware Developers, Applications",1128
"Software EngineerS, APPLICATIONS",1127
Cosmetology Instructor Assistant,1126
STATISTICIANS,1125
"Human Resources Assistants, Except Payroll and Timekeeping",1124
SPECIALTY PROJECTS MANAGER,1123
"Area, Ethnic and Cultural Studies Teacher, Postsecondary",1122
I/S Maintenance Worker,1121
Instructional Cooridinators,1120
Assistant Professor Operations & Supply Chain Management,1119
Sr. ABAP certified Consultant,1118
"Preschool Teachers, Except Special Education",1117
"Compensation, Benefits, and Job Analysis Specialists",1116
LODGING MANAGERS,1115
Quality Assurance Analyst Senior,1114
"Software Developer, APPLICATIONS",1113
Cost Accountant,1112
Surgeons,1111
Anesthesiologists,1110
Christian Education Director,1109
"Education Teachers, Postsecodary",1108
Sr. Sales Engineer,1107
.Net Developer,1106
Set and Exhibit Designer,1105
Creative Director,1104
Optometrist,1103
Veterinarian,1102
Engineer B Emissions,1101
Market Research Analyst and Marketing Specialist,1100
"Education Administrators, Preschool and Childcare",1099
Worship Minister,1098
Apprentice Lineman,1097
STAFF ACCOUNTANT,1096
HELPERS ELECTRICIAN,1095
DERRICK OPERATOR - OIL & GAS,1094
Network & Comp Sys Administrators(15-1142),1093
"Fabric Menders, except garment",1092
Software Developer (new code: 15-1132),1091
DIRECTOR OF OPERATIONS,1090
"Psychology Teachers, Postsecondary",1089
"*Computer Software Engineers, Applications",1088
"Computer Software Engineers, Applications [See H.14]",1087
"Computer and Information Scientists, Research",1086
Cooks,1085
Customer Service Representative,1084
"BOOKKEEPING, ACCOUNTING, AND AUDITING CLERKS",1083
SOCCER COACH,1082
Software Engineer - Hosted Applications,1081
TILE AND MARBLE SETTERS,1080
General Counsel,1079
Head Montessori Teacher,1078
Healthcare Social Workers,1077
Senior Identity Management Consultant,1076
SR. BUSINESS ANALYST,1075
Assistant Professor of Education,1074
"Assistant Professor, Social Work",1073
HVAC HELPER,1072
Landscaper,1071
INFORMATION SECURITY ANALYST,1070
CLERGY,1069
Alteration Tailor,1068
CAREGIVER,1067
"TAILORS, DRESSMAKERS, & CUSTOM SEWERS",1066
"Atmospheric, Earth, Marine, and Space Science Teachers, Postsecondary",1065
Computer Systems Analyst [15-1121.00],1064
Jewelers and Precious Stone and Metal Workers,1063
Senior Electrical Engineering Technician,1062
CHILDCARE WORKERS,1061
Mechanic Maintenance Man,1060
"Cooks, Private Household",1059
"CHEF, JAPANESE FOOD",1058
HOUSEHOLD WORKER,1057
MARKET RESEARCH ANALYST AND MARKETING SPECIALISTS,1056
GENERAL AND OPERATIONS MANAGERS,1055
Internist,1054
Senior Business Systems Analyst,1053
Obstetrician/Gynecologist,1052
Architects,1051
Computer Sysytems Analysts,1050
Health Diagnosing and Treating Practitiioners,1049
Neurologist,1048
Int'l Marketing & Branding Manager,1047
Traffic Engineer,1046
"Software Developers, Aplications",1045
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1044
"Production, Planning, and Expediting Clerks",1043
"InfoSecAnaly,WebDvlpers,&CompNetwkArchit",1042
Assistant Professor of Humanities (Poetry),1041
Senior Software Developer,1040
"Physician, Internal Medicine",1039
NATURAL SCIENCE MANAGERS,1038
Athletic Trainers,1037
Mechanical engineers,1036
Assistant Profesor,1035
Industrial Refrigeration Engineer,1034
Environmental Engineers,1033
Technical Consultant,1032
FIRST-LINE MANAGER OF OFFICE AND ADMINISTRATIVE SUPPORT WORKERS,1031
Market Research and Marketing Specialist,1030
SENIOR SYSTEMS ANALYST,1029
Assistant Professor of Studio Art,1028
GIS Programmer Analyst,1027
MEDICAL TECHNOLOGIST,1026
Computer and Information Systems Mgr,1025
Software Design Engineer,1024
Controller,1023
"RELIABILITY, SAFETY AND HEALTH ENGINEER",1022
Software Developers,1021
Lab Specialist,1020
Software DeveloperS - APPLICATIONS,1019
Clinical Geneticist,1018
Logistics Manager,1017
QA ANALYST,1016
System Analyst/Programmer Analyst,1015
